"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"neil-476","30 April 2011","This was big daft fun. After a short sequence where Natalie Portman and her fellow scientists drive into this chap in the middle of an unexplained whirlwind, there is a lengthy sequence in Asgard. Asgard looks great (the Rainbow Bridge is phenomenal), the Norse Gods are all played well, and the action elements are beautifully done. Then Thor is cast down to Earth, powerless, to teach him a lesson, at which point a) things start to go pear-shaped in Asgard, and b) the goings-on on Earth are somewhat less engaging than those in Asgard, although there is some very well-judged comedy. But the last half hour or more is action all the way, both on Earth and in Asgard.I thoroughly enjoyed Thor, as did my companions (one of whom is far from a committed comics movie fan), and took pleasure in the way further elements are included to set up the Avengers movie - again, don't leave until after the credits. There are places where what you see on the screen screams ""Kirby!"" If I was to offer any criticisms, I would say: 1. There is a point where the pace drops somewhat about half an hour in; 2. There is quite a lot of it which reminded me of other movie (the small town battle reminded me of similar sequences in both Superman II and Supergirl); 3. Rene Russo is wasted. I imagine she features strongly in ""Deleted Scenes."" Natalie Portman never really convinced me. Kat Dennings was fun but underused. Idris Elba was a great Heimdall. Anthony Hopkins added an immeasurable amount of class as Odin - a strong ruler, absolutely assured as to his authority, but calm and compassionate when appropriate.But Chris Hemsworth is the big discovery here. His Thor is as nuanced as Chris Reeves' Superman/Clark Kent. A wonderfully enjoyable performance in a film which is non-stop entertainment.","
            6/10
            "
"cre8toruk","9 May 2011","Sorry, to all that have given this ""movie"" more than 1 out of 10. This has to be one of the most sorry excuses for a movie I've ever seen. Actually less interesting and more poorly written than Pokemon the movie and even that was a new low for me... It cost me £10.00 to see this (I had my own 3d glasses)!!! I'm considering asking for a refund.What was the point of Natalie Portman or the other mortals presence and the 5 minutes we spent in their company?This movie is nothing but a 2 and bit hour long trailer for the undoubted THOR 2,3,4,5,6,7,8,9 which will have all the drama and normally good content that Marvel based movies have (I can only hope).More time is spent (nearly half) developing characters and giving us background information on how we've got to where we've got...rather than telling the story that we paid to see....There's no depth of character, (Anthony Hopkins was the best actor in it and he spent most of his time in a coma, I'm guessing after he read the script !), there's no plot other than arrogant son, exiled to earth. He spends 5 minutes (yes 5 !) not understanding anything that's going on or how society works (despite him and his people being deified for at least 2,000 years) and then gets sucked back to his own ""realm"", there's little in the way of good dialogue, the special effects are Dr Who'esq and the 3D is forgettable.There's no menace from any of the baddies, his ""bad"" half / non brother seems so nice that you think ""ah it's all an act and something terrible is going to happen""... but no, he is quite a nice guy only really dabbles with naughtiness.....This film was supposed to be in 3D yet I completely forgot that it was after the first 5 minutes and only at the end when I realised that I was wearing the stupid glasses did I remember!!In a time where we have transformers, X-Men and the like, the special effects were weak and pretty poor. There's no humour no camping it up to rescue it either.My worry is that if this is the best movie of the undoubted quadruology that we're about to be subjected to, then God help us. I warn you we may have another Iron Man 2 (a movie I still haven't been able to stay awake all the way through yet!!) or Spiderman (anything other than 1) on our hands and can I bring myself to part with another £10 on the strength of that?... almost certainly not.This could and should have been great, it wasn't and I'm left feeling cheated ! Cre8.","
            8/10
            "
"Eternality","29 April 2011","Where Michel Gondry, the acclaimed director of Eternal Sunshine of the Spotless Mind (2004) and Be Kind Rewind (2008), had comically failed with The Green Hornet (2011), Kenneth Branagh, the respected director of Henry V (1989) and Hamlet (1996) succeeded with Thor. An extremely promising setup to Joss Whedon's The Avengers, which is slated for release in the summer of 2012, Thor is without any doubt the best film Marvel Studios has produced in recent years, even better than the Iron Man (2008, 2010) series, I'd reckon. In fact, one has to go back to Sam Raimi's Spiderman (2002) for any decent comparison with the quality of Branagh's work here.Any dissonance felt since Branagh was picked to helm Thor would have slowly evaporated in the first thirty minutes of the film. After all, it is a bold and risky move for someone who is known for brilliantly translating the theatrics and subtleties of Shakespeare's words into film form to challenge himself with a big-budget superhero movie meant for a popcorn-munching audience. Speaking of which, Thor is imbued with Shakespearean undertones of betrayal, sacrifice, and tensions among the hierarchical ruling family. Branagh brings a touch of humanistic, real- world sensibility to the fantastical setting, enlivening the film when it could have been dulled with flat visual effects.The story takes time to build up, and that effort is worth it, as it immerses viewers into three realms, that of Earth, Asgard (where Thor and his father, Odin, live), and Jotunheim (where the villains, the Frost Giants, live). The settings in each of these three realms play an important role as they give viewers the chance to visualize and juxtapose the worlds of these ""mythical"" characters. Action sequences fought in Asgard and especially Jotunheim, are well-directed with visual and sound effects becoming the main draw, appeasing Marvel fans who will get numerous opportunities to see Thor (and his oh-my-gosh-I-so-want- that-hammer) in action.In contrast, what happens on Earth is ordinary. But it remains to be the realm that provides the film with its most hilarious situations, and a romantic subplot involving the newly-crowned swan queen Natalie Portman, who plays Jane Foster. Thor is played by Chris Hemsworth, who as a new face to Hollywood, is surprisingly charismatic as an actor. Perhaps his charm plays out from his character, who from a brave but arrogant royal prince of Asgard becomes a lost soul on Earth, where he is banished to by his father (Anthony Hopkins) for inciting war with the Frost Giants.For a film that sees itself as a serious take on the Marvel universe, it is quite funny. The most laugh-out-loud moment occurs during a brief conversation between Thor and a pet store owner. Another milks humor from an Iron Man reference. Other moments take advantage of the ""earthly"" situations Thor find himself unable to adapt to. On a random note, I would advise Marvel fans to stay all the way till the end of the end credits for a snippet of what is to come in The Avengers.Thor, under the hands of Branagh, is an excellent example of how to do a superhero movie right. It has all the necessary elements that make a successful Hollywood blockbuster. By no means a great film, but it certainly aspires to be so. And for that and other reasons mentioned above, I shall lavish praise and give a recommendation.GRADE: A- (8.5/10 or 4 stars)(www.filmnomenon.blogspot.com)All rights reserved.","
            8/10
            "
"velvoofell","28 April 2011","There is a poignant scene in cult 1980s BBC sitcom 'Red Dwarf' where the super-organised hologram Rimmer talks about why he actually likes his polar opposite Rastafarian, slob, scouse room-mate Lister. He compares him to a hangover-cure ""fried egg and chilli sauce ciabatta sandwich"" Lister has offered. ""All your ingredients are wrong - but somehow it works, somehow you're right!""The same has to be said for 'Thor'. A giant WWE escapee taking down scientists and CIA men in New Mexico just after having been banished from his monster-infested, operatically armoured home-universe sounds like the worst straight to video Triple-H starrer ever made - but it all somehow, not only comes together, succeeds in throwing more at the screen than many superhero movies could lay claim to.Marvel's vision and slight tinkering of the Norse Edda, the mythological testament of the vikings, remains. Loki is Thor, not Odin's, half-brother, while Heimdall, usually the janitor of the Gods in mythology books, becomes a noble and stoic guardian of the godly kingdom of Asgard.Kenneth Branagh resurrects the one thing that was good about his 'Frankenstein' - sweeping camera shots, heated melodrama that evokes the excitement of a children's story as well as the drama of Shakespeare. In fact, Branagh's grounding in the bard means that the plot's interweaving of 'King Lear' in Odin, 'Macbeth' and 'Iago' in Loki's character, of 'Hamlet'-llite in some of Thor's darker ruminations and not a little of 'A Midsummer Night's Dream' s immortal/mortal interpersonal dynamics is deft.Thrilling and refreshing too is the involvement of monsters, giants and archaic robot menaces as well as real-world threat and suspense in a superhero movie for almost the first time in the cycle of superhero movies since 'X-Men's' rekindling of the genre. Bryan Singer might want to take notes if he ever revisited 'the Man of Steel', while Zach Snyder might do well to notice that human drama need not be sacrificed in the face of a slew of special effects.There are only a few negatives. Once Thor lands in the desolate New Mexican town and finds friends he just kind of hangs with them there. Moving from place to place may have heightened the thrills in the earthbound sequences. The prosthetics of the Frost giants look off-the-peg creations compared to their giant CGI hell-hound-troll and this may come from two different effects houses handling these respectively.These are minor quibbles in a movie that blends humour, whimsy and outrageous action with genuine urgency, real world dilemmas and not a little goose-pimpling Shakespearean cinema. Oh, and the brief glimpse of Odin's steed Sleipnir shall have comic-book and mythology fans in a state of complete awe.This will satisfy everyone who attends it and all that remains to be said is this to the developers of the new 'He-Man' movie: Look at 'Thor' - it can be done.","
            8/10
            "
"SteveMierzejewski","10 September 2011","If you are looking for a wall to wall action film, you will be disappointed with Thor. Not that there were not action scenes, but, they are few and do not take up much film time.If you are looking for a Spiderman-like romance angle for the main character, you have also come to the wrong place. The reason for this, and much of the reason why the film didn't work for me, can be summed up in two words: Natalie Portman. My guess is she took the film for money. She seemed like an actress who showed up on set simply to recite her lines. You can get better acting from a tree stump. Thus, it is difficult to believe that the super hero, no matter how great a nature worshiper he may be, could fall in love with a tree stump. I would have been much happier to see Thor's love interest played by a complete unknown. This would have worked.The story is slow to develop as much time is taken to set the scene. Eventually, the action moves to earth and it is here that the film livens up. Personally, I wish the entire movie took place on earth. I dreaded returning to the dull life on Asgard. On the other hand, the special effects for this realm are really quite good.Certainly, the highlight of the film was the acting by Chris Hemsworth. He played the confused, serious, laughable hero angle to perfection. It's too bad he had to work with Portman. Better luck next time.","
            6/10
            "
"ChadFeldheimer","19 April 2011","Okay, so Thor is pretty darn decent. Phew. Without revealing anything regarding the plot, I'll just say that I enjoyed this film quite a lot, and would rate it above both Iron Man films, but not by too much. (If you hated them maybe just stay away from Marvel movies in general?) Very good in all areas, without achieving greatness in any sums up this movie nicely I think. Beautiful costumes and set design, solid acting all around, and much better action than recent movies have offered up. The world of Asgard has been handled wonderfully, looking absolutely gorgeous, and with all of its denizens very well spoken without their dialogue ever being as obtuse or clunky as Thor's 'Ye Olde' English has been known to be in the past. Special mention to Idris Elba for being friggin' awesome. I'm a pretty big Marvel fan, but not knowing what Mjolnir is won't harm your enjoyment of Thor to any great degree I don't think. Also, side note, I personally dislike 3D with a great, burning passion (thank you Clash of the Titans), but it is relatively well done here, never distracting from the film. I would still recommend seeing it in 2D if you can though, as it is quite dark in parts. Several parts. Bring on the Avengers!","
            10/10
            "
"big_ryan15","27 April 2011","I have to admit, i had low expectations for this adaptation. Hulk yeah sure, Iron man, why not, Captain America, its set in the real word of course it'll work. But THOR? A wildly fantastical tale of Norse Gods and Rainbow bridges and nicknamed hammers ?? Surely not! Ill stop with the bashing; this film is astonishing. The oddest thing has happened here. Coupling notoriously artsy director Kenneth Branagh with one of Marvels most theatrical characters was a stroke of genius. At the beginning of the film, we are quickly introduced to Jane Foster, her whimsical offsider and an older gentleman. Storm chasers aren't normally this clever you might think to yourself during this opening scene, but alas, they are revealed to actually be physicists after a few minutes. An incredible storm arrives and THOR HAS LANDED: or so you would think. Mere moments after being introduced to our title character we are thrust on an astrological journey to Asgard, land of gods. Here we are introduced to Odin, the all father and his 2 young boys; Loki and Thor. Odin recites stories of an ancient war in which a planet load of frost giants planned to destroy the realm of Midgard (earth) before Odin and his merry men stepped in to save humanity. It is during this scene we are first shown Thor's arrogance and thirst for war. Skip ahead a few years and THOR has become Asgard's mightiest warrior, just as Odin had foretold. A celebration is occurring, Thor is about to be crowned as king of Asgard, but alas... this glorious day is interrupted by none other than said FrostGiants attempting to steal a stolen heirloom from Asgard's weapons locker.. The story rapidly gains traction from here. Thor marches into the Frost Giants planet (against his fathers will) in all his Aussie glory, kicking ass and taking names. He and his friends become swiftly over powered and Odin is left no choice but to step in. An argument erupts in which Odin tells Thor of his assholness and douchebaggery and that he is no longer worthy of his giant hammer Mjolnir or his god of Thunder status. Cast down to Earth the audience is reunited with the opening scene and we are officially filled in. A bevy of comedic scenes follow in which Chris hemsworth's THOR is tranquillised and run over multiple times. The film transitions backwards and forwards between our world and that of Asgard so as to keep us informed on going ons. Odin goes into a coma and Thor's mischievous bro Loki starts to come into his own. A marvellous story unfolds filled with action, humour, heartache and a whole heap of awesome!! Branagh's eye for curious shots is on full show here and works fabulously in creating a beautifully surreal Asgard. The films close is a little rushed but is also very heartfelt and strong. Leaving plenty of room for more character development, THOR is as good as if not better than every comic film to date, the characters were superbly cast and played and the story follows as close as it can to the source material as it can without being too over the top. Spectacularly fun movie, worthy of the Marvel name tag and certainly a sequel. 10 out of 10 for performance and entertainment....Make sure to stay after the credits for the Captain America nod.","
            8/10
            "
"Sergeant_Tibbs","10 July 2013","The only reason I watched this film is because I'm going to see The Avengers soon and I've seen all the others, although they range from decent to average. I was already not a fan of anything about this film so I had low expectations and it pretty much met them. I'm not a fan of Kenneth Branagh in whatever he does so Thor was pretty typical of him. The emotional cores of the film are intended to be the father/son, brother/brother and Thor/Natalie Portman relationships, but none of them were convincing as they weren't set up properly, nor did they have any genuine chemistry, as a poor attempt to base them on Shakespearean foundations.Loki is a ridiculous villain, he wasn't evil nor threatening, and I immediately hated the character of Thor. Every character is paper-thin and charmless, I had lots of eye-rolling moments. Especially as they set up the realm of Asgard to be a sincere and the Earth scenes to have lighter comedy, the contrast only seeming sloppy and cheap, as they repeat the same jokes four times in a row hoping to get one laugh. There's no tension or excitement, as the unlikeable Thor battles faceless obstacles, it's no better than a Steven Seagal movie but made PG-13. The other Avenger films had something redeeming about them, but I'll see how the big film is on the big screen. I don't expect something spectacular, but at least worthwhile.3/10Update: I saw The Avengers and it was spectacular. I am pleased.","
            6/10
            "
"tedg","22 June 2011","I continue to maintain that the least imaginative and cinematically effective production group is not Michael Bay's, Jerry Bruckheimer's, or that gleeful combination of Ron Howard and Brian Grazer. It is Marvel, who time after time think a hard punch is an effective punch, color is the same as effect and shout equals passion. Their use of the visual art of cinema is roundly uncinematic, just as Shanghai is profoundly dumb architecturally and for the same reason.They know this, and also know that their films may not be remembered kindly - affecting aftermarket sales. Of all the entertainment businesses, Marvel knows that markets change and the real moneymakers are those that can be sold into new media pockets.So what do they do? Well, I have seen two Marvels this summer. With the latest X, they decided to add some story for a change.But here they tried another tack, and it is worth noting. The dramatic world of Marvel is Greek with teen angst added in and everything taken to excess. There clearly was a market for that. But since the production of the films is so tightly controlled and homogeneous, to sell more tickets, you need a differentiator. The angst and volume is already stretched as far as they know how, so why not stretch the dramatic center from Sophoclesto Shakespeare. So bring in Branagh and allow him to populate the thing with actors who can appear 'Shakespearean.'It is less important that we actually witness Shakspeare, the folds, introspections and narrative loops, than we think we do, we get stentorian presence. No one is going to deride Anthony Hopkins for this, because he is a lost cause among serious actors. But the real tragedy is Ms Portman, who with Skarsgård can really act and who knows how to support a vision like Kenneth would have for his 'Hamlet.' But that is not his job here. His job is to take loud things and give them the smell of Shakespeare.Natalie, like her character, can only watch in horror as this is visited on her, and disaster is grown.Ted's Evaluation -- 1 of 3: You can find something better to do with this part of your life.","
            8/10
            "
"moviewizguy","7 May 2011","The epic adventure THOR spans the Marvel Universe from present day Earth to the mystical realm of Asgard. At the center of the story is The Mighty Thor, a powerful but arrogant warrior whose reckless actions reignite an ancient war. As a result, Thor is banished to Earth where he is forced to live among humans. When the most dangerous villain of his world sends its darkest forces to invade Earth, Thor learns what it takes to be a true hero. (C) Paramount PicturesTHOR is a mediocre superhero flick. It opens with a shaky 10 minute beginning that introduces the mythology of THOR in a fast pace with exposition-esque dialogue. Here, you can see one of the main problems of the film: The scenes in Asgard are waaay too serious. So serious, in fact, that you might find yourself laughing unintentionally at the damn cheesy lines that are being said by the actors with a straight face. Fortunately, most of the film takes place on Earth, where it DOESN'T take itself too seriously. This is good because the film is actually really funny when it needs to be. This is mostly due to the whole ""fish out of water"" aspect of the film with Thor being banished on Earth. He acts the same way as he does on Asgard, and that is what makes it funny.Saying that, you might feel that there were two directors working on this film because of the completely different tones between the settings on Asgard and Earth. Since THOR jumps between the two settings now and again, you feel like it's doing a juggling act to try to balance the serious and laid back parts of the film. I can't say the film maintained it too well since I just couldn't take the Asgard scenes seriously. And those partly to blame is on the actors themselves.For starters, I didn't think Chris Hemsworth had enough in him to play the serious side of his character. Every time he tried, I had to hold the laugh waiting to burst out within me. As an actor in general, I think Hemsworth is great. He CAN do serious, as seen in A PERFECT GETAWAY and the opening of STAR TREK (2009). It's just that he couldn't do it here. Tom Hiddleston is a bit better, but I felt that he sometimes played his character more over-the-top than it needed to be. I can't say many good things about Anthony Hopkins either. I felt like he just wanted a paycheck. However, I did like Idris Elba. He played his serious character without being too laughable.The ""human"" actors, on the other hand, are better. As much as I love Natalie Portman, I didn't think she did much here. She seemed to just go through the motions with nothing spectacular to do in particular. Even her chemistry with Hemsworth didn't seem convincing enough. Kat Dennings' character, on the other hand, might be my favorite. She provides some of the films biggest laughs, and it's obvious her character is in the film to only provide comedic relief. Stellan Skarsgård was pretty good too, but he doesn't get to show much range.As for the action in THOR, I must say that I was pretty disappointed. Apart from the opening action sequence in Jotunheim, the majority of the action scenes were pretty middling and incomprehensible. Even the scene with the Destroyer seems to be a rip-off of Klaatu from THE DAY THE EARTH STOOD STILL (2008). I just felt the film had too much CGI and not enough practical effects to make the action scenes memorable or exciting enough. I guess I was spoiled with the fresh and exciting action scenes in FAST FIVE the week before. Overall, I found THOR to be mildly enjoyable mostly because of the scenes on Earth. It's not the worst superhero flick, but it's not THE DARK KNIGHT either. It's just ""there."" Once the credits roll, you'll forget mostly everything about it. 5.5/10","
            10/10
            "
"davish_wulf-1","2 May 2011","I must be honest, my hopes for this movie were very low. The trailer wasn't very appealing and to capture Thor's comic magic was quite a challenge. Gladly i was mistaken, the movie is a great introduction to the asgardian hero and i was kept entertained from beginning to the end.Balanced action that moves back and forward between Asgard and Midgard. Sadly 3D doesn't make the movie better, on the contrary. I sincerely hope 3D is reserved for pure animation movies... that's right... leave ""pure"" cinema alone.Chris Hemsworth played the perfect Thor (after being bitten by zillions of steroid ""bees"" to bulk up for the part)Hopkins plays Odin very well, wise, mysterious and powerful like the god of gods should be.Was impressed with Tom Hiddleston has Loki, moving from a friendly innocent role to a mischievous, dark character (just like it was in the norse Myths).Portman did her part, strangely looking very young compared to some other roles, but Chris/Tom lead the play here.Using a color actor for Heimdall (Idris Elba) was a very odd move, considering we're talking about norse gods. Surprisingly it worked very well, since Heimdall is the guardian of Bitfrost and he messes up with magic portals, the dark skin gives him that arcane-wise looks.Can't say the same about the Asian actor (Asano) who is COMPLETELY out of place here, with his strange accent and looks... one of the reasons i don't give 10 out of 10. Actually, i find Thor's friends (apart from Loki) a bit of the ""weird bunch"", lacking charisma and presence in the movie (and with the Asian guy, lacking on the norse department).Asgard was well portrayed, CGI all the way... but comparing with the comics, Asgard is a very stylish version of a norse ""olympium"".Action sequences were great and so was the humor. Many times i found myself laughing my behind off to some viking style behavior.Don't want to spoil it for you, but if you know the comics style, you will actually feel like inside them sometimes, with all that cosmic atmosphere around the fight sequences - colorful, mysterious, out of this world.The only last fault i can mention was me wanting for more... and isn't that a good thing for a first movie?Bring on Thor 2!!! Odin be praised!","
            10/10
            "
"hallmitchell","22 April 2011","Coming into this movie and seeing the previews. I thought this movie would be comic book movie 101.This is a lot better than that.Superb casting, directing, costumes and sets.This movie is a fantasy and comic book film rolled into one.Think MARVEL meeting up with a LORD OF THE RINGS type fantasy film.It's a great story, there is a splattering of well timed humor. The support acting is great.I couldn't think of a better way to kick off the THOR films than with this one.Please get everyone involved with this back again.And remember stay to the end credit scenes.The CGI is fantastic and not over used. They've used miniatures to.Great work team MARVEL.","
            10/10
            "
"lekgolah","2 May 2011","With The Avengers in the horizon, there is reason to doubt whether this will be Iron Man or Iron Man 2 where its development was rushed so that Stark would be ready to team up with the likes of Hawkeye and Hulk. However through Kenneth Branagh's directing he is successful in making an enjoyable action film about the God of thunder.In an interview Kenneth Branagh said that Thor is similar to Shakespeare because of the family conflicts. The script itself may not be Shakespeare but you can draw some similarities. It is in these moments of conflict between father (Antony Hopkins) and son (Chris Hemsworth) where the film shines. While the filmmakers did their best to make the Earth scenes interesting, they do not hold up well to the scenes on Thor's home planet.Thor is a visually spectacular film with amazing CGI. Some say that it is becoming over used in films today but this film uses it with care. There are no moments where the CGI would drop below par. Like the film it remains consistent throughout.The acting that includes many recognisable faces, is very good. Chris Hemsworth as Thor handles the character well as does his brother in the film played by Tom Hiddleston. Anthony Hopkins and Idris Elba are also really good. Natalie Portman, while also good, is never given any dialogue to help project herself above romantic interest sadly.While you might not really care for the romantic sub-plot until the end, the film packs a punch, delivering solid action sequences. Unlike Iron Man 2, this left me interested in seeing what happens next in The Avengers.","
            8/10
            "
"DonFishies","30 April 2011","When Marvel announced its intentions to create a film based on The Avengers, most fanboys cheered with delight. I remain to be incredibly interested in what the company and Joss Whedon have in store for us next summer, but in the interim we have Thor and Captain America: The First Avenger to look forward to. While every new image and trailer has kept me excited for Cap's entrance, I have always remained skeptical on Thor. The trailers did nothing to help my hesitation going into the film, and after watching it, I am even more apprehensive Marvel's future plans.Thor (Chris Hemsworth) is a ridiculously powerful god living in the ""realm"" of Asgard. He is due to be crowned king by his father Odin (Anthony Hopkins), but during his commencement, Asgard is briefly invaded by rogue members of the Frost Giants, a group who hold a long standing truce with Asgard. After acting out recklessly and endangering the lives of his warrior companions, Odin strips Thor of his godly powers and his hammer Mjolnir and exiles him to Earth. As he searches for hammer, Thor ends up in the care of Jane Foster (Natalie Portman), a scientist studying wormholes, constellations and the causes for certain spatial phenomena.I find it incredibly difficult to go even further trying to describe Thor. The ending is ridiculously obvious moments after the film begins, and the proceeding moments make no attempt at trying to do something outside of playing by-the-numbers. Origins are vaguely discussed, and there is such little emphasis on character development and explanation that you wonder why Marvel even bothered giving the character his own film in the first place. The best part of the film is the initial introduction to Thor, Asgard and the powers possessed by these godly warriors. Everything past his exile feels secondary and almost useless.One of these reasons is the simple fact that Thor's journey on Earth is not interesting in the slightest. It is the battles, the characters, the settings on Asgard that offer the most fascinating, engaging and enjoyable scenes in the entire film. The film has a habit of jumping back and forth between what is occurring on Asgard as Thor treks on Earth. Almost every time, I found myself more focused watching those scenes that keep jumping in, and was ridiculously bored by everything else. I figured these scenes would be the most satisfying parts of the film, but never figured they would make me totally oblivious of everything else that was happening.But I digress, because it seems like the plotting and story existed only because Marvel needed some time to show Thor off to anyone who does read comics on a regular basis. He is the character with the most ""development"" in the film and his role in the film is defined merely to tease how he comes on S.H.E.I.L.D.'s radar and becomes a part of The Avengers. Hell, they even go so far to only give us small dialogue exchanges, a few nods and two awesome cameos as they build towards that film (unlike Iron Man 2, whose second half revolves almost entirely around increasing audience awareness), and spend the rest of the time trying to tell us who Thor is. I appreciated less emphasis on Avenger lore, but considering Thor is not an incredibly exciting character, that appreciation can only go so far. Special effects wise, the film is a mixed bag. Many of the scenes on Asgard are simply astounding to watch. They are truly breathtaking, and provide one of the only reasons anyone should bother watching the film. But a lot of the fight scenes are the exact opposite. They move too fast, are hard to see, and are almost cartoonish in nature. I know Thor and his warrior compatriots exist in a place of pure fantasy, but that does not mean everything has to look so preposterous. The 3D adds to a few of these scenes and makes them infinitely more impressive. But at the same time, it also helps mask how terribly composed a lot of them are as well. Hemsworth as Thor is one of the other small amount of reasons to see the film. He is built like a tank, and has a powerful aura about himself. He easily embodies the character's superhuman abilities with ease, and makes something as silly as waving a hammer look ridiculously bad-ass. He transcends the role, and stays strong throughout, whether playing the character as an arrogant and pompous warrior, or a meek and mostly powerless stranger. He has a lot of fun with the role, but he never forsakes or even attempts to not take the role deadly serious. Sadly, much like the interchangeable story, the majority of the supporting cast simply does not match up to the power of Hemsworth's performance. Portman, fresh off her Oscar win, is supposed to be a brilliant scientist. But one look at Thor, and she is thrown into a giggling schoolgirl like trance that she is unable to shake for the entire film. Stellan Skarsgård is decent, but he does nothing outside of answer a few questions and hint at future developments. Kat Dennings exists solely for comedic purposes. Hopkins and Idris Elba are two stand outs, but they are so horrendously underplayed that it is practically criminal. I was actually really impressed by Tom Hiddleston's performance as Thor's brother Loki and Clark Gregg as Agent Coulson of S.H.E.I.L.D. But sadly, they can only do so much in light of being overshadowed. While there is quite a bit to enjoy about Thor, there is way too much to dislike. It had potential to be something great even with what it has working against it, but it sadly just never makes anything for itself. It exists merely to help Marvel fit an agenda. And Kenneth Branagh seriously directed this? You could have fooled me.6/10.","
            1/10
            "
"smlubecki","20 July 2011","When I heard they were making a movie of the character Thor I had serious trepidations. When I heard that Kenneth Branagh was directing it I had even more trepidation not due to the fact that it was Branagh but the fact that all he's ever directed was drama's.Going into the theater I very low expectations from this film and man was I blown away. I like the fact that Branagh didn't approach the story as a super-hero film but more of a Shakespearing epic. The fantasy elements alone were marvelous.Anthony Hopkins IS Odin...I cannot imaging another actor portraying him. His performance as Odin captures the essence of the character and the delicate balance of ruler verses father. He exudes power with subtle touches of vulnerability.Chris Hemsworth is outstanding as Thor. He's got such a likability about him that even at Thor's most arrogant point in the story you can see how his friends stand by him. His performance is rock solid and extremely enjoyable. Tom Hiddleston is THE perfect Loki. He's captured the sleazy, slimy, be nice to your face but looking for a place to drive the knife in your back nature of the character.As I had stated earlier the story plays out as more of a fantasy epic than a dyed in the wool super-hero story. The journey into Jotenheim was stunning and Asgard itself was just beautiful to behold. The set designs were excellent. The humor in the film was very organic and never seemed forced. The story itself was very well balanced and didn't leave you wondering what the heck was going on. I almost wish they'd have kept it separate from the upcoming Marvel films. It works very well as a stand alone epic.The effect's that I was expecting to be sub-standard were in fact top notch and even Thors trademark spinning hammer from the comics didn't look as cheesy as it could have. This movie is a gem. All parties involved should be proud of themselves for bringing such a great piece of work to the screen. I for one cannot wait to see a sequel to this film. With any luck we'll see some of the other nine realms such as Muspelheim, Alfheim or even Vanaheim.This is definitely a MUST SEE film","
            10/10
            "
"morrison-dylan-fan","26 May 2011",".
After being thrilled by Iron Man (2008) ,I was interested to find that Kenneth Branagh was moving from Shakespeare to the Comic-Book. Leading to me picking up a hammer and going to see Thor make his thunderous big screen debut.View on the film:Along with Hugh Jackman and Robert Downey Jr in their CBM's, Chris Hemsworth shows that he is a perfect fit for this role,with Chris being able to do the amazing fight scenes, (which help to display the intense level of training that Hemsworth put himself through for the role) and the more dramatic/light-hearted scenes where Hemsworth shows Thor slowly transform,from a self-centre,blood thirsty warrior,into a warrior that is (beginning) to understand the art of war.After losing her mind for her Oscar winning performance for Black Swan,Natalie Portman really lets her hair down for this role,with a light breezy performance.Although she sadly does not get the chance to participate in the stunning fight scenes,Portman still does a very entertaining performance,with the many scenes she shares with Chris Hemsworth brilliantly catching the natural chemistry they have with each other,which also helps to reveal a different side to Thor.Whilst the story,which is co-written by J. Michael Stracznski (who has a very funny cameo) is not as complex as his astonishing screenplay to the 2008 film Changeling,Kenneth Branagh unveils a unexpected relish for taking on this vast canvas.For the action scenes Branagh executes them brilliantly,with the first battle on the planet of Jotunheim being a true thrill-ride,with the mix of hand (or hammer) to hand combat,blending in seamlessly with the CGI created warriors and monsters. During the opening of the film,Branagh shows a unexpected J.R.R Tolkien side for this film,with the world of Thor being given a stunningly beautiful,epic scope.For the sections of the film which take place on Asgard,Kenneth Branagh unwraps the world he is creating,with fantastic sweeping shots,that help to turn this film into a very epic adventure.Final view on the film:A gripping,action/adventure comic-book film,with a fantastic performance from Hemsworth,and unexpectedly stunning action scenes from Branagh.","
            2/10
            "
