"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"FallenEye","14 July 2022","Every million Thor: Love and Thunder makes, is a million Marvel Studios and Disney has stolen, in the true meaning of the word, from fans. And believe me when I say that this farce of a movie is so vacant, that there really is nothing to spoil.""Gorr - The God Butcher"", yet not once did we see him butcher anyone, let alone a god, apart from a lousy stab. In any other franchise, such a gross disservice would have sparked outrage or contempt, but because it is the MCU, anything goes. That together with an endless barrage of bad and recycled jokes and plot issues the director couldn't have been bothered with, Thor: Love and Thunder, which is essentially named after Chris and his daughter, is a box of candy only good for causing a visual sugar high, only without the high or the sweetness. The MCU is no longer a loved franchise, it has become a worshiped one, which is why it can get away with producing thoughtless and empty products, and yet still be praised and consumed with gratitude.This movie only served to stroke Chris Hemsworth and Taika Waititi's egos, while being a platform to showcase their children. And please don't interpret this as me ""bashing"" their children, they are completely innocent in this; it's their parents' egomania at fault. Thor: Love and Thunder has no substance, direction, or purpose, and is just a project of pure nepotism and ego.This movie is half-baked, senseless, and intentionally ridiculous, which emphasizes just what a vanity venture it is.I read somewhere someone say:Avengers: Endgame: ""Whatever it Takes"".Thor: Love and Thunder: ""Whatever"".This is perhaps the most apt description of this thing that is a movie only by name.In the sentiments of Chris Hemsworth and Taika Waititi, they suggest that this is a movie a 7-year-old would've made, and that the focus was 6-year-olds, showing how Marvel is now even flaunting its arrogance and disregard without shame.Thor: Love and Thunder is not a movie, nor is it a movie for Marvel/MCU fans, it is a scam, a con, and footage of the Waititi and Hemsworth's family get-togethers, for them to enjoy during the holidays, but not us, together as families, and Taika and Chris are the con artists, which is about as much art as they display.I'm not mad, disappointed, or surprised by this wreck of a movie, I'm merely aware of what the MCU is, or has become, and as an MCU fan, I'm just accepting of how the mighty have indeed fallen, at least from a quality point of view.If you had asked me years ago if I thought I'd ever give an MCU movie such a low rating, I probably would've laughed in your face, and yet, here we are:3/10.","
            3/10
            "
"mindlessmoviemaster","8 July 2022","This just another Disney Marvel film. All it is bad jokes and even worse directing. Now we have girl Thor that's not even an asgardian. The film doesn't take its self serious enough, was in a packed theater and most the jokes didn't land. I felt like why is the audience so quiet? Don't waist your money or time on this take the kids to Minions.","
            1/10
            "
"dude5568","8 July 2022","The film fails to meet the expectations of a great sequel. The Director is over reliant on unnecessary and childish humor. Christian Bale's character is underdeveloped for the most part. Zeus is a forgettable character in the movie. Thor does bring some fun to the movie but it does not help the film recover at any point. I would not rush to the Theaters for this sequel. O what a missed opportunity 👎.","
            5/10
            "
"UltraMaximal","7 July 2022","Marvel films have never been for a smart audience. But turning a character like Thor and many others into a Clash Of The Titans rom-com really seals the fate of this incarnation of the MCU. There really is nothing new here save for Thors butt, which nobody ever asked for. But serves to show just how low Marvel will go for toilet humor.","
            1/10
            "
"melcraig204","6 July 2022","I feel like I've just watched a movie written by a bunch of school kids. They threw everything funny they could think of against the board and literally forgot everything else that makes a good movie. As a result nothing else in this movie means anything...it's a green screen completely detached from reality...","
            2/10
            "
"mustangride","6 July 2022","I am at a loss for words, it is childish but not even that. It is actually hard to put this to words.IIt is as if they wanted to try and make this a Comedy but did not even know how to make a Comedy. You know those episodes of your favorite TV shows that they tried to make a musical episode and how cringe it was to watch... Well that is the best way I can describe this.Save your money up for Gas and Groceries and hope Avatar is as good as we all hope.","
            2/10
            "
"info-90701","8 September 2022","It is hard to understand how they can so thoroughly mess up a proven franchise, but apparently it is easy to do. The Matrix franchise has done it, and this one has done it. It is sad really.The acting is decent, and actors deliver as much as possible, but it lacks continuity, a rational story and so much more. The atrocity that is Russell Crowe's character and performance is just absurd. Christian Bale is as angst ridden as ever and delivers it well, but what a wasted performance on a nonsensical script.The story is bad, the directing is pretty bad, everything including the music is over the top and absurd.I understand how the screaming goats felt in this film and wanted to scream with them!","
            3/10
            "
"jiggler-88714","6 July 2022","Everything is a joke, even when it shouldn't be, leaves the movie itself as ""a joke"" itself.It has too much of that rock guy Korg. A fan edit removing most of Korg will increase the rating by at least a point.Thor gets the stereotypical Homer Simpson treatment. This is apparently the god of thunder. Ugh.","
            3/10
            "
"Xstal","8 September 2022","The Gods of Chore desecrate with poor humour, this must surely be, a Marvel lampooner, while a dark necromancer, a metaphorical cancer, wages war with his shady black tumours. There's a Crowe God takes us to new lows, waffles along with ridiculous prose, but he isn't alone, most of this makes you moan, you're relieved when it gets to the close.Taika Waititi fails to pull another Jo Jo Rabbit out of his increasingly emptying bag, in a film that leaves you groaning and squirming, from the ridiculous to the inept, from the absurd to the disengaging and detaching disconnect. Not sure why Christian Bale presents as Marilyn Manson but it's probably the only thing that works, although possibly not as intended.","
            3/10
            "
"paularjyarishi","13 July 2022","String of jokes and gags. Bland fight sequences. Hollow characters. Candypop colours and bling. Lazy, formulaic BGM. Pointless, absolutely unnecessary. When did Marvel become a spoof of its own material? Even The Powerpuff Girls had more sincerity than Love and Thunder. Waited for two hours to feel SOMETHING. All I felt was a headache and a pair of tired eyes.","
            1/10
            "
"akashdeb-94800","8 July 2022","I never wrote negative review, but now it deserves it. I didn't give doctor strange 2 negative review as that was more worst than this, just for a hope Thor 4 will be good. But as doctor strange Thor character also destroyed.First, I have no problem with women empowerment, I support as well if it has good writing and character development. But I have problem with destruction of male characters. Marvel suddenly forgot story and character development. As a Marvel fan it is so disappointing for me.I have not that problem if MCU didn't follow comics, I always like to be open, want to give a chance the new story, but this time, they added GOR , THE GOD BUTHER! And what he does, become spider and kidnap children, wtf! Seriously! You guys don't have any story for this character showcase! But Bale did excellent acting. But they made GOR typing gray villain.Now coming to Jane, I really liked her, I was excited to see her as mighty thor. But there's no explanation how she become mighty thor, so many loopholes. And I thought she vanished in blip. No typical story as Thor isn't given her time, so they broke up, that's it!Now coming to one of my favourite Thor. The first superhero who got his own 4th movie, just to ruin his character arc. They made him joker, a typical failure guy just like doc strange. He is a god , he lost all of his family, and what he do, COMEDY, cracking jokes all time. I never thought comedy will be insufferable in MCU. Thor was made to be a king, he should be better than Odin! He should rule the Asgard! But now what he do? And why in end game Thor and GOTG team up? GOTG is just a filler in the movie. Oh no the whole movie is the filler.Sorry but mcu isn't same anymore. First they destroyed doc strange, now Thor. Enough.","
            1/10
            "
"daisukereds","7 July 2022","..and yet, this is all so very familiar.Lots of silly jokes (the goats get old really fast), an average villain plot, and no real stakes at any point. Add the fact that beings die (cheaply) and some just don't (a lot), then powerful Gods that become inconsistently useless for the sake of plot. I'm tired of mediocrity. No amount of colorful scenes will make this work, waititi. The worst part is that it uses stories that were written with buildup, intent and merit for a Comic.. and it feels like they were mushed and summarized onto an average script for the sake of substance. That is not to say Chris and Natalie didn't deliver on the emotional tones! It was the part I enjoyed the most.. But it feels ultimately hollow and unimportant.It's a decent watch, in the same vein as the first Ant-Man. The masses might like it (although the theater I went to was mostly silent).You can see naked Thor in the trailer.. so, just wait for the Disney+ release.","
            4/10
            "
"DunkelheitVZ","10 September 2022","If something is ""not so good"", that means it is forgettable, might be enjoyable for one view, but overall in 6 months, I will have forgotten I watched that movie.""Bad"" means that it had great material, but they ruined it all. Not so forgettable, because you remember when you hit something ""bad"".Thor is an abomination, because it ruins a whole franchise. It is so bad, it makes work that has nothing to do with the movie itself unwatchable. Thor 1-3 are different in itself, but they are good movies. Not the most awesome, but really enjoyable entertainment. I'd love to watch them again some time. But how am I supposed to do this again? When you see SIF in Thor 1, you will think of the worst death scene ever invented in the history of entertainment from Thor 4 and you won't get immersed into the movie. If I see Avengers again, I will think of this ""funny"" Thor and not of the great hero they created once.And even if you want to make ""Naked Gun"" in the marvel universe, how does Bales character fit in here? If you cut his scenes together, you won't believe it is the same movie.Disney has some amazing talent, they created great things. But they are ruining the Star Wars and the Marvel franchise. They lost respect for the material or they don't know what made it really good. I don't know what is worse.","
            1/10
            "
"drumskostas","6 May 2023","What the hell did I just watch....You might think the one star rating is too harsh, maybe 4 or 5 stars would be more reasonable If I was being very, VERY generous but I have had it with marvel releasing one mediocre film after another....This is not a serious movie series anymore about the character development of a superhero/god who lost everything and still managed to get through and become Kinder and more mature. This just became a movie about a superhero who finally snapped and decided to act as a complete idiot from now on... What a great way to destroy years of character development.The writing is just lazy and the director made an excellent work of transforming it into a parody movie of itself. Actually, that was my father's first questions after watching the first 10 minutes of this movie, ""Is that a Thor parody?""Cristian Bale is great, as always, and I am saddened that he had to stain his filmography with this movie.I could go on and on about all the things wrong with this movie but I have already wasted 2 hours of my life watching it and don't want to waste any more time on it. I DO NOT recommend this movie to anyone.","
            1/10
            "
"jtindahouse","6 July 2022","I sometimes feel like Taika Waititi is wasting his talents making MCU movies when he could be making great original content. But then he does make pretty good MCU movies, so maybe it would be a shame to miss out on those. 'Thor: Love and Thunder' wasn't quite as good as 'Thor: Ragnarok' for me, but it was still a decent watch.The film is once again very light-hearted. It is certainly going for laughs more than anything else. Consequently the tone is very safe and no one ever feels like they are in much genuine danger. Which is a shame because Christian Bale plays a particularly menacing (at least visually) villain.There are some fun cameos along the way as usual. The film is pretty well paced too. It doesn't really have a period which I would say dragged. If you enjoyed 'Ragnarok' then you are almost certainly going to have a good time with this one. 7/10.","
            7/10
            "
"Hopedoesnotdie","8 July 2022","Wow as a HUGE! Marvel fan I'm shocked at how bad this was. So many cliché jokes, no character development, and Chris Hemsworth is no longer an actor in my opinion but a Disney prop just generating revenue with the same old schtick. I personally think Disney buys reviews because how these disasters just debut with higher rating and falter when us fans speak our mind is shocking. Only good thing was I was able to go see Back Phone after 80 mins of this crap and actually found a movie I really enjoyed that I normally wouldn't have seen. Way better filmmaking and acting. The jokes in this Thor aren't even funny, it's like they try to get the audience to laugh with them but we end up laughing at them. Films don't care about good storytelling anymore, they want to be ""politically correct"" and enlighten us with how they want us to think. All hogwash. Save your money. Disney is 3rd rate.","
            1/10
            "
"filmtravel101","10 September 2022","I'm a big fan of Thor and love the prior films but this disaster of a script by Taika is simply pathetic.I went in with an open mind but the sophomoric childish humor and lack of a real story makes it feel like a parody of itself. Poor Thor becomes this silly caricature of the hero and the only person that feels like a real character is Christian Bale who luckily actually acts like a true villain.Imagine a nightmare cross of Guardians of the Galaxy and Dumb and Dumber with a Soap Opera Thor
behaving like a silly fool - and throw in fatty Russell Crowe as a silly Zeus with a hilarious pathetic Greek accent and the topping is 2 large goats with annoying screams.A total train wreck that I had to turn off in the middle because it was intolerable and Taika selection of music gets old fast. And I grew up in the 80s
Eat my hammer Guns n RosesWatch it for the cgi and Christian bale - and for the Children ( yes that is the main crux is saving the children of fantasy Disneyland Askard ha ha ).It makes one wonder what Taika and Disney are smoking these days and what kind of disaster will be created by Taika with Star Wars.1 star because Zero not available.","
            1/10
            "
"frommeltstephanie","9 July 2022","While not the worst Marvel film, it is certainly not worthy of high praise. Ragnarok was a masterpiece but Taika falls incredibly short of expectations for a bar that was set high in the beginning phases of the MCU. I didn't hate this movie, but I didn't love it, and that is a trend with some of their recent offerings. I'm on the fence about a rating of 7, but my favorite MCU movies are in the 8-10 range.Characters:
Thor has been reduced to a joke and doesn't have the appeal he once had. Why does he look like a carnie ala Joe Dirt? Why is he so weak, dumb and needy?Valkayrie's character has been reduced to a lesser version of her former self and her rule of New Asgard was pitiful and lacked inspiration. Tessa's talent was totally wasted.Christian Bale's performance, while exceptional was a bit too Voldemort-esque.The appearance of the Guardians was lame -who would look up to Starlord? Chris Pratt came across as a white trash version of the character first introduced and has completely lost his likability. Rocket is the best character in the Guardians and he barely had any lines.The first battle was against hawklike chicken muppets riding Star Wars knockoff vehicles and they just weren't formidable in the least.The cameos were fun (Hella) and the goats were annoying when they didn't have to be.Music:
The use of music was ill-timed and not matched to the action -no offense to GNR, but why so much of their music? November Rain was the only song that seemed to be paired well with the action. There are so many 80's rock and metal songs that would have made a better fit .Plot:
Boring and drawn-out. Pay no attention to the commenters whining about ""wokeness"" and this has nothing to do with anything other than their own prejudice and intolerance. The humor was dumb, childish and just not that funny or witty, unless maybe you are a 8 year old boy raised by immature parents.I'm a huge Marvel fan but I have been so disappointed in recent offerings that are a result of Disney greed, poor writing and lazy directing.","
            7/10
            "
"mrglenngrant","21 July 2022","This is a hard film to review cos as a Marvel fanboy I enjoyed the story and seeing one of my very favourite characters again ... and also getting Jane as The Mighty Thor - and not thru some multiverse trickery, as I suspected.With that in mind, and I do really like Taika as a writer and director (see Jo-Jo Rabbit) ... but I don't think I like that they've allowed him to apply his 'touch' to Thor. It makes me uncomfortable. The forced jokes and parody just don't sit well with me and I long for a more 'serious' take for a Thor movie. Other marvel films have embraced humour (Ant-Man is a great example) but not at the expense of the characters ... but Thor seems to have done a 180 in terms of personality at times - at times coming across as an idiot, which is really sad.I also didn't enjoy the borderline camp and racist Zeus ... which was a waste of Russell Crowe's talent and if that was all Taika's idea then shame on him. This was easily the least enjoyable portion of the movie for me.The Guardians also seemed a little like a wasted opportunity and for all the effort of getting them together for the movie I expected them to be in more than the first 10 minutes.I think this was better then Ragnarok - but neither were better than the first Thor ... or maybe even the second (gasp!).67/100.","
            7/10
            "
"ladyliliroche","6 July 2022","Maybe I did hype myself too much but since it is coming from Ragnarok and Taika Waititi, I have high expectation for this movie.Chris Hemworth is great to look at. That flick scene was definitely worth it but in the end, the lack of good story and the 'heart' made this movie feel empty.It was a waste of Christian Bale too. The motivation ended up ridiculous. Like why as a God hater, he would actually asked another God being for help. I really thought his first wish was to bring his daughter, but it wasn't so. He had the idea after Thor inspired him.It was an entertaining movie. I did not mind Mighty Thor. Good introduction and Natalie Portman looked great but everything just felt hollow.Some of the humour needed to be tone down too and felt inappropriate for some of the scene. The guardians was barely in it, even for a final battle... is it to prep for their own movie? Who knows...In the end, was I entertained? Yes... Did I wish the movie has more heart in it? Definitely a yes.Phase four basically fizzling out for me.","
            2/10
            "
"namob-43673","7 July 2022","I had very low exceptions. Seeing how they dumbed down Thor and made him into a slapstick joke I did not even want to see this movie. So when I say this was better than I thought I mean I thought this would be a -10/10 movie and be so horrible I would not be able to finish it without falling into a radioactive vodka-chamber. So the good news is that this is not THAT bad... The bad news is that this is still absolutely terrible.The good with this movie is that it expand the Marvel Universe somewhat, we get to see some new things, some new worlds, some new characters. The cinematography is pretty great and the CGi hold pretty good. I also think the Jane story was a lot better than anticipated and I almost did not hate her.The bad is everything else. The dialogue is atrocious, the attempt at humour is for children who has never seen a movie before, and the story is beyond contempt. This movie is also very short and it feels very rushed, very cut off like they wanted to make 40min more but did not have the budget or the studio hated it so they sliced of 5min here and there. And the acting... sorry but this is probably the worst acting I have seen in any Marvel movie. Every scene feels forced, and every actor look like they do to not want to be in this movie.Almost all the negatives I mention above I would blame on the director which leads me to my main complaint; the directing is absolutely horrible. This is badly put together, badly edited, too short, badly told and if actors that we know can put in a good performance do not that has to be blamed on the director.Everything else I mainly blame on the script. OMG this is so badly written, absolutely horrible. This movie is written by a 12yo blind and deaf fan of bad humour and then it has been added to by Darth Kennedy who was brought in to polish the script. Then directed by a childish man-baby lacking anything resembling an intellect.I give this 2/10. I do not think Superhero movies can get worse than this. This is on par with the worst of the genre and I cannot phantom who can honestly like this.","
            2/10
            "
"kshitijbhaware","7 July 2022","I was not hyped for this movie because I didn't liked the trailer itself. This movie didn't gave me goosebumps like ragnarok. It was not that good but ok. I didn't expected much from this film. Villain was not much impactful like it was in Thor ragnarok. It was ok according to me. Depends upon you to watch it or not.","
            7/10
            "
"andrewchristianjr","6 July 2022","One of the most enjoyable MCU romps in a while. I had a good time throughout the film. There is a lot of fun stuff. Waititi is a great directorial and comedy force. But would it make any real difference to the future of the MCU if this film didn't exist? No. Not really.","
            8/10
            "
"dyingrepublicofpanama","8 July 2022","Ah dear.a complete eyesore earsore gutsore.Everywhere hurts.Why does every franchise that was once good and with direction have to take a nose dive and explode into flames.","
            2/10
            "
"gavinp9","6 July 2022","'Thor: Love and Thunder' (or Thor 4) is a bridge between 'Avengers: Endgame' and 'Guardians of the Galaxy Vol 3' and is not really linked to any of the other recent MCU films/TV shows, but it does a really good job of building on 'Thor: Ragnarok' and the spirit of that film, including making Valkyrie (Thompson) and Korg (Waititi) the two main sidekicks of Thor (Hemsworth, who both ground him and add humour.The plot is based around Gorr (Bale) having a sword that can kill gods, set-up well in the first 10min, and at the same time, Jane (Portman) being back as ""The Mighty Thor"" and being able to wield Mjolnir. A lot of this is explained in nice quirky montages, courtesy of Korg. There's plenty of great cameos - from a lot of Aussies too, since it was filmed here - but the biggest (not a spoiler) is Russell Crowe as Zeus, who has a semi-important role, and is great.Love & Thunder is very fast-paced, using the soundtrack excellently - especially four Guns N Roses songs - and it's amazing the difference of ""the vibe"" during/after 'Thor: The Dark World' and 9 years later compared to this film. The black and white scene is excellent, there's plenty of battles and whenever it starts to get too serious, there's some well-placed jokes. The ending seems fitting and leaves you happy to see where Thor's journey takes him.","
            8/10
            "
"duggies70","31 May 2023","I loved the start. The back story of Gorr was wonderful. I never liked or cared about the movie version of Jane Foster. This did nothing to change that. Making her the principal character left me with little hope this movie would please me.The constant bad jokes were just annoying. Not only were they not humorous, they were ill timed. The king/queen of Asgard doing TV commercials was pathetic. I'd heard plenty of bad reviews on this movie, but they didn't do it justice; it's much worse than I'd heard.I'm not certain how the Valkyrie that abandoned Asgard somehow ends up as ""The Woman King?"" But now everyone's a god, so no one is?","
            2/10
            "
"alexglimbergwindh","6 July 2022","If I want to watch a silly super hero movie I'll watch batman and Robin. That's enough.This is some weird combination of the worst from Adam Sandler and the best from Marvel (make of that what you want)They absolutely trash the characters and their archs of the Mcu for cheap laughs. You might chuckle but it feels stupid afterwards.Christian bale is goat though. Sadly they ruined Thor like they did Hulk... Urgh.","
            1/10
            "
